"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Sphingobium yanoikuyae","32","Sphingobium yanoikuyae strain SHJ chromosome, complete genome","  13690","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium yanoikuyae"
"Azorhizobium caulinodans","31","Azorhizobium caulinodans ORS 571 DNA, complete genome"," 438753","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Azorhizobium","Azorhizobium caulinodans"
"Flavobacterium johnsoniae","31","Flavobacterium johnsoniae UW101, complete genome"," 376686","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium johnsoniae"
"Methylobacterium sp. C1","31","Methylobacterium sp. C1 chromosome, complete genome","1479019","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp. C1"
"Fusobacterium periodonticum","30","Fusobacterium periodonticum strain KCOM 1283 chromosome, complete genome","    860","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium periodonticum"
"Methylobacterium aquaticum","30","Methylobacterium aquaticum DNA, complete genome, strain: MA-22A"," 270351","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium aquaticum"
"Pseudomonas syringae","30","Pseudomonas syringae pv. syringae B728a, complete genome"," 205918","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas syringae"
"Ralstonia mannitolilytica","30","Ralstonia mannitolilytica strain SN82F48 chromosome 1, complete sequence"," 105219","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia mannitolilytica"
"Sphingomonas sp. Cra20","30","Sphingomonas sp. Cra20 chromosome, complete genome","1327635","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. Cra20"
"Sphingomonas taxi","30","Sphingomonas taxi strain ATCC 55669, complete genome","1549858","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas taxi"
"Lysinibacillus fusiformis","29","Lysinibacillus fusiformis strain RB-21, complete genome","  28031","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus","Lysinibacillus fusiformis"
"Methylobacterium radiotolerans","29","Methylobacterium radiotolerans JCM 2831, complete genome"," 426355","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium radiotolerans"
"Rhizobacter gummiphilus","29","Rhizobacter gummiphilus strain NS21, complete genome"," 946333","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Rhizobacter","Rhizobacter gummiphilus"
"Staphylococcus equorum","29","Staphylococcus equorum strain KS1039, complete genome"," 246432","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus equorum"
"Acidovorax citrulli","28","Acidovorax citrulli AAC00-1, complete genome"," 397945","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax citrulli"
"Microbacterium testaceum","28","Microbacterium testaceum StLB037 DNA, complete genome"," 979556","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium testaceum"
"Pseudomonas alcaligenes","28","Pseudomonas alcaligenes strain NEB 585, complete genome","  43263","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas alcaligenes"
"Pseudomonas frederiksbergensis","28","Pseudomonas frederiksbergensis strain ERDD5:01 chromosome, complete genome"," 104087","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas frederiksbergensis"
"Acinetobacter schindleri","27","Acinetobacter schindleri strain ACE, complete genome"," 108981","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri"
"Brevundimonas vesicularis","27","Brevundimonas vesicularis strain FDAARGOS_289 chromosome, complete genome","  41276","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas vesicularis"
"Burkholderia cenocepacia","27","Burkholderia cenocepacia J2315 chromosome 1, complete genome"," 216591","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia cenocepacia"
"Caulobacter vibrioides","27","Caulobacter crescentus CB15, complete genome"," 190650","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter vibrioides"
"Nocardioides dokdonensis","27","Nocardioides dokdonensis FR1436, complete genome","1300347","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides dokdonensis"
"Enterobacter cloacae","26","Enterobacter cloacae subsp. cloacae ATCC 13047, complete genome"," 716541","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae"
"Kocuria palustris","26","Kocuria palustris strain MU14/1, complete genome","  71999","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria palustris"
"Microbacterium sp. BH-3-3-3","26","Microbacterium sp. BH-3-3-3 chromosome, complete genome","1906742","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. BH-3-3-3"
"Phyllobacterium zundukense","26","Phyllobacterium sp. Tri-48 chromosome, complete genome","1867719","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Phyllobacterium","Phyllobacterium zundukense"
"Rhizobium phaseoli","26","Rhizobium phaseoli Brasil 5 chromosome, complete genome"," 526949","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium phaseoli"
"Sphingomonas sanxanigenens","26","Sphingomonas sanxanigenens NX02, complete genome","1123269","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sanxanigenens"
"Brevibacterium linens","25","Brevibacterium linens strain BS258, complete genome","   1703","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium linens"
"Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17","25","Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17, complete genome","1619070","Bacteria","Candidatus Saccharibacteria","","","","","Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17"
"Methylobacterium oryzae","25","Methylobacterium oryzae CBMB20, complete genome"," 693986","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium oryzae"
"Achromobacter spanius","24","Achromobacter spanius strain DSM 23806 chromosome, complete genome"," 217203","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter spanius"
"Acidovorax sp. RAC01","24","Acidovorax sp. RAC01 chromosome, complete genome","1842533","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. RAC01"
"Bosea sp. AS-1","24","Bosea sp. AS-1 chromosome, complete genome","2015316","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea sp. AS-1"
"Bosea vaviloviae","24","Bosea vaviloviae strain Vaf18 chromosome, complete genome","1526658","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea vaviloviae"
"Burkholderia cepacia","24","Burkholderia cepacia GG4 chromosome 1, complete sequence","1009846","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia cepacia"
"Nocardioides sp. 78","24","Nocardioides sp. 78 chromosome, complete genome","2045452","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. 78"
"Proteus mirabilis","24","Proteus mirabilis strain HI4320, complete genome"," 529507","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus mirabilis"
"Ramlibacter tataouinensis","24","Ramlibacter tataouinensis TTB310, complete genome"," 365046","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Ramlibacter tataouinensis"
"Sphingopyxis macrogoltabida","24","Sphingopyxis macrogoltabida strain EY-1, complete genome","  33050","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis macrogoltabida"
"uncultured Sphingopyxis sp.","24","uncultured Sphingopyxis sp. isolate UC10 genome assembly, chromosome: SPPYR"," 310581","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","uncultured Sphingopyxis sp."
"Acidovorax sp. JS42","23","Acidovorax sp. JS42, complete genome"," 232721","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. JS42"
"Sphingopyxis fribergensis","23","Sphingopyxis fribergensis strain Kp5.2, complete genome","1515612","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis fribergensis"
"Bosea sp. PAMC 26642","22","Bosea sp. PAMC 26642, complete genome","1792307","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea sp. PAMC 26642"
"Bradyrhizobium sp. BTAi1","22","Bradyrhizobium sp. BTAi1, complete genome"," 288000","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. BTAi1"
"Brucella suis","22","Brucella suis 1330 chromosome I, complete sequence"," 204722","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella suis"
"Cupriavidus metallidurans","22","Cupriavidus metallidurans CH34, complete genome"," 266264","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans"
"Pedobacter cryoconitis","22","Pedobacter cryoconitis strain PAMC 27485, complete genome"," 188932","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter cryoconitis"
"Pseudomonas sp. LPH1","22","Pseudomonas sp. LPH1 chromosome, complete genome","1898684","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. LPH1"
"Rhizobium leguminosarum","22","Rhizobium leguminosarum bv. viciae chromosome complete genome, strain 3841"," 216596","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium leguminosarum"
"Serratia symbiotica","22","Serratia symbiotica str. 'Cinara cedri', complete genome"," 568817","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia symbiotica"
"Sinorhizobium meliloti","22","Sinorhizobium meliloti 1021 complete chromosome"," 266834","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti"
"Acinetobacter indicus","21","Acinetobacter indicus strain SGAir0564 chromosome, complete genome"," 756892","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter indicus"
"Acinetobacter sp. TTH0-4","21","Acinetobacter sp. TTH0-4, complete genome","1646498","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. TTH0-4"
"Arthrobacter sp. YN","21","Arthrobacter sp. YN chromosome, complete genome","2020486","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. YN"
"Bradyrhizobium sp. ORS 278","21","Bradyrhizobium sp. ORS278,complete sequence"," 114615","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. ORS 278"
"Corynebacterium efficiens","21","Corynebacterium efficiens YS-314 DNA, complete genome"," 196164","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium efficiens"
"Hydrogenophaga sp. PBC","21","Hydrogenophaga sp. PBC, complete genome"," 795665","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. PBC"
"Methylobacterium phyllosphaerae","21","Methylobacterium phyllosphaerae strain CBMB27 chromosome, complete genome"," 418223","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium phyllosphaerae"
"Pimelobacter simplex","21","Pimelobacter simplex strain VKM Ac-2033D, complete genome","   2045","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Pimelobacter","Pimelobacter simplex"
"Pseudomonas alcaliphila","21","Pseudomonas alcaliphila JAB1 chromosome, complete genome"," 741155","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas alcaliphila"
"Acidovorax sp. T1","20","Acidovorax sp. T1, complete genome","1858609","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. T1"
"Brachyspira hyodysenteriae","20","Brachyspira hyodysenteriae WA1, complete genome"," 565034","Bacteria","Spirochaetes","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira hyodysenteriae"
"Methylobacterium nodulans","20","Methylobacterium nodulans ORS 2060, complete genome"," 460265","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium nodulans"
"Microbacterium sp. TPU 3598","20","Microbacterium sp. TPU 3598 DNA, complete genome","1938334","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. TPU 3598"
"Pseudomonas brassicacearum","20","Pseudomonas brassicacearum subsp. brassicacearum NFM421, complete genome"," 994484","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas brassicacearum"
"Rhizobium sp. S41","20","Rhizobium sp. S41 chromosome 1, complete sequence","1869170","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. S41"
"Sphingomonas sp. LK11","20","Sphingomonas sp. LK11 chromosome, complete genome","1390395","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. LK11"
"Staphylococcus cohnii","20","Staphylococcus cohnii strain SNUDS-2 chromosome, complete genome","  29382","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus cohnii"
"Staphylococcus epidermidis","20","Staphylococcus epidermidis ATCC 12228, complete genome"," 176280","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis"
"Stenotrophomonas acidaminiphila","20","Stenotrophomonas acidaminiphila strain ZAC14D2_NAIMI4_2, complete genome"," 128780","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas acidaminiphila"
"Xanthomonas campestris","20","Xanthomonas campestris pv. campestris str. ATCC 33913, complete genome"," 190485","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas campestris"
"Acinetobacter radioresistens","19","Acinetobacter radioresistens strain DSSKY-A-001 chromosome, complete genome","  40216","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter radioresistens"
"Bacillus mycoides","19","Bacillus weihenstephanensis KBAB4, complete genome"," 315730","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides"
"Bartonella apis","19","Bartonella apis strain BBC0178, complete genome","1686310","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella apis"
"Hydrogenophaga sp. RAC07","19","Hydrogenophaga sp. RAC07, complete genome","1842537","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. RAC07"
